,year,name,href,type,boxoffice,mean_price,mean_people,times
0,2008,赤壁(上),http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=184,动作,27490,33,41,2008-07-10
1,2008,画皮,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=1491,爱情,20453,30,41,2008-09-26
2,2008,非诚勿扰,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=557894,爱情,17641,34,62,2008-12-18
3,2008,功夫熊猫,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=350723,动画,15150,27,36,2008-06-20
4,2008,功夫熊猫：师傅的秘密,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=618531,动画,15150,27,36,
5,2008,功夫之王,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=442,动作,14560,32,31,2008-04-24
6,2008,007：大破量子危机,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=373864,动作/惊悚,12046,31,29,2008-11-05
7,2008,木乃伊3：龙帝之墓,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=361634,惊悚,11000,31,27,2008-09-02
8,2008,梅兰芳,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=485078,剧情,9739,33,36,2008-12-04
9,2008,大灌篮,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=3452,爱情,9578,29,30,2008-02-08
10,2008,全民超人汉考克,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=339428,动作/喜剧,9227,28,31,2008-07-02
11,2008,钢铁侠,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=346815,动作,7712,30,26,2008-04-30
12,2008,通缉令,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=398701,惊悚/动作,7600,29,26,2008-10-09
13,2008,国家宝藏：夺宝秘笈,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=363240,惊悚,7300,31,25,2008-03-17
14,2008,史前一万年,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=404123,科幻,7220,29,26,2008-03-21
15,2008,集结号,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=692,剧情,7207,30,25,2007-12-20
16,2008,纳尼亚传奇2：凯斯宾王子,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=317033,魔幻,6631,29,27,2008-06-06
17,2008,叶问,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=4160,动作,6517,30,44,2008-12-12
18,2008,尼斯湖怪·深水传说,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=386691,惊悚,6280,27,29,2008-02-17
19,2008,地心历险记,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=348627,科幻,6025,48,48,2008-09-28
20,2008,三国之见龙卸甲,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=1227,战争,6015,29,25,2008-04-03
21,2008,无敌浩克,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=345547,科幻/惊悚,5389,28,21,2008-08-20
22,2008,十全九美,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=559983,喜剧,4474,24,27,2008-08-01
23,2008,保持通话,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=131,惊悚,3905,27,24,2008-09-27
24,2008,江山美人,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=816,动作,3832,28,19,2008-03-07
25,2009,2012世界末日,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=405109,灾难,44745,32,68,2009-11-13
26,2009,变形金刚2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=393925,科幻/动作,40364,32,53,2009-06-24
27,2009,建国大业,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=566769,剧情,39288,32,54,2009-09-16
28,2009,赤壁(下),http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=555157,动作,24353,34,49,2009-01-07
29,2009,三枪拍案惊奇,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=572844,喜剧,22011,33,49,2009-12-10
30,2009,十月围城,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=572813,动作,21362,34,61,2009-12-17
31,2009,风声,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=559677,惊悚,20510,33,40,2009-09-29
32,2009,南京！南京！,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=1037,剧情,15976,30,39,2009-04-22
33,2009,哈利·波特与混血王子,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=339973,魔幻/动作,15524,31,46,2009-07-15
34,2009,冰川时代3,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=344562,动画,15049,44,61,2009-07-08
